Nombre de Proyecto/Programa,Agencia financiera,Contador de proyectos,1999,1999_2,2000,2000_2,2001,2001_2,2002,2002_2,2003,2003_2,2004,2004_2,2005,2005_2,2006,2006_2,2007,2007_2,2008,2008_2,2009,2009_2,2010,2010_2,2011,2011_2,2012,2012_2,2013,2013_2,2014,2014_2,Total,Total_2
,,,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales
  Proyecto de Fortalecimiento de la Gestión del Patrimonio Cultural [2010],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,320125.0,320125.0,,,,,,-181259.0,,,320125.0,138866.0
  Corredor Cultural del Caribe-Honduras [2012],Organización de Estados Iberoamericanos,0,,,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,25000.0,,,,,25000.0,25000.0
  Apoyo a la Insercion Internacional de la Economia Hondureña,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,110000.0,,,101430.0,,8102.0,,,,,110000.0,109532.0
  Conozcamos e imitemos a los hombres y mujeres ilustres de Honduras,"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura",0,,,,,,,,,,,,,,,,,,,,,,,,,20000.0,20000.0,,,,,,,20000.0,20000.0
  Así Somos [Zambo Creek (La Ceiba) / Cones (Ocotepeque) / Benk (la Mosquitia)],"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura",0,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,25000.0,,,,,,,25000.0,25000.0
  Proyecto Manejo Sostenible de Paisajes Productivos,Fondo Mundial del Ambiente,0,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,,95012.629,,4987.35,,,100000.0,99999.98
  Gestión del Patrimonio Cultural para el desarrollo local de los municipios de la Mancomunidad COLOSUCA [Fase I],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,421882.0,421882.0,,,8674.0,8674.0,,,,,430556.0,430556.0
  Consolidación de la Fundación Comayagua Colonial,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,45146.0,45146.0,,,,,,,,,,,45146.0,45146.0
  Fundación Comayagua Colonial,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,39174.0,39174.0,677.0,677.0,,,,,,,,,39851.0,39851.0
  Realización de actividades de la oficina del Plan Maestro de Comayagua,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,105660.0,105660.0,,,,,,,,,,,,,,,,,105660.0,105660.0
  Elaboración Plan maestro de los conjuntos históricos de COLOSUCA [1323-06],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,96199.0,96199.0,,,,,,,,,,,,,,,,,96199.0,96199.0
"  Restauración, adecuación y ampliación de la casa de la cultura de Comayagua",Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,56858.0,56858.0,,,,,,,,,,,,,,,,,56858.0,56858.0
  Elaboración Plan Maestro de los Conjuntos Históricos de COLOSUCA [1838-06],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,21209.0,21209.0,,,,,,,,,,,,,,,,,21209.0,21209.0
  Plan Maestro de los conjuntos historicos de la mancomunidad de COLOSUCA,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,147711.0,147711.0,,,,,,,,,,,,,,,147711.0,147711.0
  Caxa Real de Comayagua,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,297765.49,297765.49,,,,,,,,,,,,,297765.49,297765.49
  Inventario Patrimonio Cultural de Mancomunidad de COLOSUCA,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,139839.5,139839.5,,,,,,,4865.0,4865.0,,,,,144704.5,144704.5
  [OCH] Oficina de Conjuntos Históricos de la Mancomunidad COLOSUCA [2008],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,119861.0,119861.0,,,,,,,,,,,,,119861.0,119861.0
  [OCH] Oficina de Conjuntos Históricos de la Mancomunidad COLOSUCA [2009],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,109091.0,109091.0,,,,,,,,,,,109091.0,109091.0
  Programa de Fortalecimiento de la Gestión Urbana de los Centros Históricos [FASE I],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,493554.5,493554.5,,,,,,,,,,,493554.5,493554.5
  Paseo de los Monumentos en el Centro Histórico de Comayagua Fase II,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,131977.0,131977.0,,,,,,,,,,,,,,,,,131977.0,131977.0
  Paseo de los Monumentos Comayagua,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,114321.0,114321.0,,,,,,,,,,,,,,,114321.0,114321.0
  Programa de Fortalecimiento de la Gestión Urbana de los Centros Históricos [FASE II],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,335640.0,335640.0,,,17690.0,,,15583.0,,,,,353330.0,351223.0
  Rehabilitación Antiguo Cuartel,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,234686.0,223353.0,,-209562.0,,,,,,,,,234686.0,13791.0
  Técnicas en gestión urbana y de patrimonio cultural en los centros históricos,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,80094.0,80094.0,,-29782.0,,,,,,,,,,,,,80094.0,50312.0
  Restauración Templos COLOSUCA,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,128694.0,128694.0,,,,,,,,,,,128694.0,128694.0
  Programa Nacional de Turismo Sostenible (PNTS),Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,34472251.0,13416666.0,,,,,,,,,,5613000.0,,4069152.0,,11373433.0,,,,,34472251.0,34472251.0
  Creatividad e Identidad Cultural para el Desarrollo Local,Servicio Holandés de Cooperación al Desarrollo,0,,,,,,,,,,,,,,,,,,,590625.0,572218.25,,,,,,18406.75,,,,,,,590625.0,590625.0
  Espacios Públicos COLUSUCA Fase III,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,145743.0,145743.0,,,,,,,,,,,,,145743.0,145743.0
"  Promoción de la Calidad de la Educación Básica en el contexto de la ""Educación para Todos"" [PROEFA II]",Gobierno de La República Federal de Alemania,0,,,,,,,,,,,7819406.006,4051051.261,,,,,,,,,,,,1287183.829,,2356493.342,,38204.634,,,,,7819406.006,7732933.068
  Programa de Fomento de la Economia y del Empleo (PROMYPE IV),Gobierno de La República Federal de Alemania,0,,,,,,,,,,,,,,,,,,,4956834.235,3194493.783,,,,1632898.233,,62664.009,,,,,,,4956834.235,4890056.025
  Proyectos de Energías para el Desarrollo II [EnDev] Finanaciamiento Países Bajos,Gobierno de La República Federal de Alemania,0,,,,,,,,,,,,,,,,,,,853677.007,834746.031,,,,2427.471,,,,,,,,,853677.007,837173.502
  Programa de Vivienda Rurales y Urbanas (PRIMHUR V),Gobierno de La República Federal de Alemania,0,,,,,,,,,,,9855957.15,9855957.15,,,,,,,,,,,,,,,,,,,,,9855957.15,9855957.15
  Programas FHIS VI + VII,Gobierno de La República Federal de Alemania,0,,,,,,,,,,,10326737.99,10326737.99,,,,,,,,,,,,,,,,,,,,,10326737.99,10326737.99
  Programa de Vivienda Rurales y Urbanas (PVMR IV),Gobierno de La República Federal de Alemania,0,,,,,,,,,,,,,,,,,,,,,,,7039969.983,7039969.983,,,,,,,,,7039969.983,7039969.983
  Programa de Vivienda Mínima Rural [PVMR V],Gobierno de La República Federal de Alemania,0,,,,,,,,,,,,,,,7039969.983,1736697.302,,,,,,,,,,1294146.598,,4009126.082,,,,,7039969.983,7039969.983
  Protección / Desarrollo de la Biosfera del Río Plátano,Gobierno de La República Federal de Alemania,0,,,,,,,,,,,12273303.316,12273303.316,,,,,,,,,,,,,,,,,,,,,12273303.316,12273303.316
  Pequeños Proyectos 1,Gobierno de Taiwan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,350000.0,350000.0,,,,,350000.0,350000.0
  Plan de Acción de Biocombustibles,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,383252.0,,,,,,,97500.0,,285752.0,,,,,383252.0,383252.0
  Programa Desafío de la Cuenta del Milenio: Proyecto Transporte,Cuenta del Desafio del Milenio,0,,,,,,,,,,,,,203915682.74,,,3390227.28,,10328480.04,,36504893.54,,80861979.31,,72659106.56,,170996.01,,,,,,,203915682.74,203915682.74
  Proyecto Social de Inclusión a la Educación Superior,Banco Centroamericano de Integración Económica,0,,,,,,,,,,,,,,,,,,,,,,,,,,,5100000.0,,,,,,5100000.0,
  Ampliación Proyecto Carretera Villa San Antonio Goascorán Secciónes IA-IB [ZONAF],Banco Centroamericano de Integración Económica,0,,,,,,,,,,,,,,,,,,,,,,,29000000.0,10000000.0,,15439949.379,,3560050.62,,,,,29000000.0,29000000.0
  Proyecto Desarrollo de la Infraestructura Básica en la Bahía de Tela,Banco Centroamericano de Integración Económica,0,,,,,,,,,,,,,7000000.0,,,,,825610.87,,1875000.0,,,,4299389.13,,,,,,,,,7000000.0,7000000.0
  Recuperacion de la Zona Sur,Programa de las Naciones Unidas para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,67121.67,,,67121.67,,,,,67121.67,67121.67
  Proyecto Semillero del Futuro,Banco Centroamericano de Integración Económica,0,,,,,,,,,,,742624.44,,,,,,,433683.46,,200640.09,,108300.89,,,,,,,,,,,742624.44,742624.44
"  Proyecto Interconector Corredores Atlántico - Pacífico: Villa San Antonio - Goascorán, I Etapa",Banco Centroamericano de Integración Económica,0,,,,,,,,,,,,,,,,,,,64297209.57,14873658.309,,7929772.48,,33862870.5,,7522940.05,,107968.23,,,,,64297209.57,64297209.569
  Formulario de cinco (5) planes de Desarrollo Organizacional,Programa de las Naciones Unidas para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,20999.74,20999.74,,,,,,,20999.74,20999.74
  Estudio para identificar el potencial de desarrollo de iniciativas de biogas a nivel del productivo en el país,Programa de las Naciones Unidas para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,46362.0,46362.0,,,,,,,,,46362.0,46362.0
  Sistema de Observatorios para el Seguimiento de las Metas del Milenio," - Agencia Sueca de Desarrollo Internacional
 - Gobierno de España
 - Programa de las Naciones Unidas para el Desarrollo",0,,,,,,,,,,,,,,,3920419.62,3368391.15,,,,,,,,,,470006.01,,82022.459,,,,,3920419.62,3920419.619
"  Seguridad, Justicia y Cohesión Social - Fortalecimiento IUDPAS"," - Agencia Sueca de Desarrollo Internacional
 - Programa de las Naciones Unidas para el Desarrollo",0,,,,,,,,,,,,,,,,,,,,,1769429.67,1734487.41,,,,34942.26,,,,,,,1769429.67,1769429.67
  Proyecto Facilidad Técnico Financiera para la Administración de Proyectos de Riego,Programa de las Naciones Unidas para el Desarrollo,0,,,,,,,25000.0,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,25000.0
  Combate del Mal de Chagas mediante el Mejoramieno de Viviendas,Banco Centroamericano de Integración Económica,0,,,,,,,,,,,4000000.0,,,800000.0,,1200000.0,,663810.0,,1000000.0,,,,,,,,,,,,,4000000.0,3663810.0
  Proyecto Modernización del Riego en Microcuencas del Valle de Comayagua [PROMORCO],Banco Centroamericano de Integración Económica,0,,,,,,,,,7000000.0,,,,,,,1725000.0,,2000000.0,,,,,,1344500.0,,,,,,,,,7000000.0,5069500.0
  Proyecto Planta Desalinizadora y Potabilizadora de Amapala,Banco Centroamericano de Integración Económica,0,,,,,,,,,,,,,,,750000.0,147784.68,,602215.32,,,,,,,,,,,,,,,750000.0,750000.0
  Fondo Nacional de Desarrollo Rural Sostenible (FONADERS),Banco Centroamericano de Integración Económica,0,,,,,,,1206259.44,329085.74,,509840.37,,,,,,367333.33,,,,,,,,,,,,,,,,,1206259.44,1206259.44
"  Proyecto ""Reconstrucción de las Economías Familiares y Empresas del Sector Social de Honduras, Fase II"" (PREFESS-II)",Banco Centroamericano de Integración Económica,0,,,,,,,500000.0,167000.0,,167000.0,,166000.0,,,,,,,,,,,,,,,,,,,,,500000.0,500000.0
"  ""Programa Nacional de Desarrollo Local II"" (PRONADEL II)",Banco Centroamericano de Integración Económica,0,,,,,,,,,,,,,,,,593666.66,4849623.49,4102683.81,,,,153273.02,,,,,,,,,,,4849623.49,4849623.489
"  Proyecto ""Electrificación de Puerto Lempira""",Banco Centroamericano de Integración Económica,0,,,,,,,,,312285.0,312285.0,,,,,,,,,,,,,,,,,,,,,,,312285.0,312285.0
  Subprograma de Mejoramiento Urbano Fase II,Banco Centroamericano de Integración Económica,0,,,3457142.75,1497222.16,,,,,,,,,,977777.75,,,,982142.84,,,,,,,,,,,,,,,3457142.75,3457142.75
"  Proyecto ""Desarrollo Rural en el Centro-Oriente de Honduras"" PRODERCO",Banco Centroamericano de Integración Económica,0,,,,,,,,,,,,,,,,,1066862.149,1066862.149,,,,,,,,,,,,,,,1066862.149,1066862.149
  Proyecto de Rehabilitación y Construcción de la Carretera Puerto Cortés,Banco Centroamericano de Integración Económica,0,,,,,,,,,,,,,,,,,21467520.33,21467520.33,,,,,,,,,,,,,,,21467520.33,21467520.33
  Rehabilitación y Construcción de la Carretera a Puerto Cortés-Frontera con Guatemala (CA-13) Sección II,Banco Centroamericano de Integración Económica,0,,,,,,,,,,,20300000.0,4246261.609,,,,,,16053738.39,,,,,,,,,,,,,,,20300000.0,20300000.0
"  Programa Nacional de Electrificación Social, Etapa-ES-N98, Ampliación No. 2",Banco Centroamericano de Integración Económica,0,,,,,,,,,,,,,,,,,8343360.88,8343360.88,,,,,,,,,,,,,,,8343360.88,8343360.88
"  Proyecto ""Programa Nacional de Electrificación Social Etapa ES-N98""",Banco Centroamericano de Integración Económica,0,,,,,,,,,,,,,,,,,2243538.22,2243538.22,,,,,,,,,,,,,,,2243538.22,2243538.22
  Seguridad Ciudadana en el Municipio de La Ceiba,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,418901.0,418901.0,,,,,,,418901.0,418901.0
  Programa de Fortalecimiento de la Gestión Urbana de los Centros Históricos [FASE III],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,336744.0,336744.0,,,15874.0,15672.0,,,,,352618.0,352416.0
"  Programa de Escuela Saludable, Primera Fase",Banco Centroamericano de Integración Económica,0,,,,,,,6019722.2,487500.0,,487500.0,,3939722.2,,1105000.0,,,,,,,,,,,,,,,,,,,6019722.2,6019722.2
  Programa de Electrificación Social Etapa ES-RP-2002 Empresa Nacional de Energía Eléctrica [ENEE],Banco Centroamericano de Integración Económica,0,,,,,,,12170160.39,,,,,,,,,5314404.53,,5570988.65,,1284767.21,,,,,,,,,,,,,12170160.39,12170160.39
  Suministro de Aguas Subterráneas para Tegucigalpa,Banco Centroamericano de Integración Económica,0,,,,,,,,,,,13600000.0,,,,,,,8905840.0,,,,144389.25,,,,,,,,,,,13600000.0,9050229.25
  FORCUENCAS - Refuerzo de la Gestión Local de los Recursos Naturales de las Cuencas de los Ríos Patuca y Choluteca,Unión Europea,0,,,,,,,46814545.554,,,,,22331024.811,,,,,,,,,,,,17730839.123,,4292475.938,,627755.517,,,,,46814545.554,44982095.391
  Apoyo a Pequeñas Infraestructuras en Comunidades del Occidente del País,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,376762.0,376762.0,,,,,,,,,,,,,376762.0,376762.0
  Prevención de VIH/Sida con Sector Religioso,Fondo de Población de las Naciones Unidas,0,,,,,,,,,,,,,,,,,,,,,,,,,60213.83,37260.34,,,,,,,60213.83,37260.34
  Programa Conjunto en Agua y Saneamiento de Honduras [FAO],Fondo ODM-España,0,,,,,,,,,,,,,,,,,,,,,864602.0,499669.0,,,,330889.0,,34044.0,,,,,864602.0,864602.0
  Programa Conjunto Creatividad y Identidad Cultural para el Desarrollo Local [OIT],Fondo ODM-España,0,,,,,,,,,,,,,,,,,,,709410.0,551798.0,,,,,,129211.0,,28401.0,,,,,709410.0,709410.0
  Fortalecimiento Institucional [SERNA] bajo el Protocolo de Montreal Fase 6 (Ozono),Programa de las Naciones Unidas para el Medio Ambiente,0,,,,,,,,,,,,,,,,,,,,,,,,,50561.36,46501.36,9438.64,13498.64,,,,,60000.0,60000.0
  Programa sobre Estudios de Pre inversión Corredor Logístico San Pedro Sula,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,640000.0,,,,,,,574294.0,,54428.0,,,,,640000.0,628722.0
  Programa Sectorial Social Asociado a la ERP,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,27900000.0,10279000.0,,,,,,,,17621000.0,,,,,,,,,27900000.0,27900000.0
"  Establecimientode un Servicio, Especialización de Métodos Alternos Resolución de Conflicos Laborales",Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,232734.0,,,,,,,,,,128000.0,,292425.0,,24500.0,,,,,,677659.0
  Programa de Capacitación en Gerencia de Proyectos,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,150000.0,36236.0,,,,,,,,112500.0,,,,,150000.0,148736.0
  Programa de Inversión de Agua Potable y Saneamiento.,Banco Interamericano de Desarrollo,0,,,26000000.0,16336000.0,,,,,,,,,,,,,,,,,,,,4351000.0,,5313000.0,,,,,,,26000000.0,26000000.0
  Programa de apoyo a la Modernización de Sistema de Justicia Etapa II,Banco Interamericano de Desarrollo,0,,,,,,,30000000.0,21250000.0,,,,,,,,,,,,,,,,5335000.0,,3415000.0,,,,,,,30000000.0,30000000.0
  Apoyo a Programa de Eficiencia Energética y Biocombustible,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,350000.0,110486.0,,,,,,74840.0,,164436.0,,,,,350000.0,349762.0
  Apoyo al Desarrollo de Mini-centrales Hidroeléctricas (SERNA),Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,250000.0,80500.0,,162656.0,,,,,250000.0,243156.0
  SIEPAC Interconexión Eléctrica Centro América,Banco Interamericano de Desarrollo,0,,,,,25000000.0,23546000.0,,,,,,,,,,,,,,,,,,1454000.0,,,,,,,,,25000000.0,25000000.0
  Interconexión Eléctrica Centro América,Banco Interamericano de Desarrollo,0,,,,,15000000.0,14129000.0,,,,,,,,,,,,,,,,,,871000.0,,,,,,,,,15000000.0,15000000.0
  Manejo de Recursos Naturales de Cuencas Prioritarias,Banco Interamericano de Desarrollo,0,,,,,24660000.0,24320000.0,,,,,,,,,,,,,,,,,,,,340000.0,,,,,,,24660000.0,24660000.0
  Programa de Educación Media y Laboral FASE II,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,6411758.0,2522100.0,,,,,,,,,,1242000.0,,2647658.0,,,,,,,6411758.0,6411758.0
  Mejoramiento del Nivel de Salud en Honduras,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,16600000.0,3466000.0,,,,,,,,4914000.0,,4985549.0,,3234451.0,,,,,16600000.0,16600000.0
  Programa de Recursos Naturales y Desarrollo Local [PRORENA II],Gobierno de La República Federal de Alemania,0,,,,,,,,,,,,,,,,,,,12528398.529,6456060.418,,,,2382719.925,,2426219.105,,853677.929,,,,,12528398.529,12118677.378
  Manejo Sostenible de las inversiones y Servicios para el Control y Mitigación del Impacto Ambiental de la Carretera San Lorenzo Olanchito en el Bosque Muy Seco Tropical del Valle del Aguán (Hábitat del Colibrí Esmeralda Hondureño).,Ministerio de Industria y Comercio de España,0,,,,,,,,,,,,,,,,,,,,,1998960.3,1998960.3,,,,,,,,,,,1998960.3,1998960.3
  Asistencia para Fortalecer las Actividades de Preparación para casos de Catástrofes y Mitigación de sus Efectos entre las Poblaciones Marginadas de Honduras,Programa Mundial de Alimentos,0,,,,,,,,,,,,,,,,,7426014.97,963847.91,,,,4445429.64,,1793069.279,,223668.14,,,,,,,7426014.97,7426014.97
  Preparación de la Segunda Convención Nacional a la Convención Marco de Naciones Unidas Sobre Cambio Climático,Fondo Mundial del Ambiente,0,,,,,,,,,,,,,,,420000.0,420000.0,,,,,,,,,,,,,,,,,420000.0,420000.0
  Apoyar en el proceso de sistematización de las lecciones aprendidas en Componente 4 del Programa Regional del Medio Ambiente en Centro América [PREMACA],Agencia Danesa de Cooperación al Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,17030.0,17030.0,,,,,,,17030.0,17030.0
  Reforestación de áreas degradadas en la Zona Sur de Honduras a través del cultivo sustentable de Jatropha curcas (Piñón) y mercado de carbono,Agencia Danesa de Cooperación al Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,270992.25,57298.0,,149388.47,,64305.78,,,,,270992.25,270992.25
  Rehabilitación del Asilo San Felipe en Tegucigalpa - Fase II,Agencia Andaluza de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,70961.46,70961.46,,,3359.47,,,,,,,,,,74320.93,70961.46
  Programa de Merienda Escolar (2009-2010),"Ministerio de Relaciones Exteriores, Comercio y Desarrollo de Canadá",0,,,,,,,,,,,,,,,,,,,,,,,3249273.426,3249273.426,,,,,,,,,3249273.426,3249273.426
  Programa de Merienda Escolar (2007-2010),"Ministerio de Relaciones Exteriores, Comercio y Desarrollo de Canadá",0,,,,,,,,,,,,,,,,,,1805151.903,,1805151.903,3610303.807,,,,,,,,,,,,3610303.807,3610303.807
  Programa Gestión de Riesgos [Programa RRD/AH],Cooperación Suiza para el Desarrollo y la Cooperación,0,,,,,,,,,,,,,,,,,,,1500000.0,1000000.0,,,,,995000.0,760000.0,,735000.0,,,,,2495000.0,2495000.0
  Curso sobre Prevención de Desastres y Sistemas de Advertencia (2012),Agencia de Cooperación Internacional de Corea,0,,,,,,,,,,,,,,,,,,,,,,,,,,,16000.0,16000.0,,,,,16000.0,16000.0
  Asistencia por Emergencia Ocasionada por Lluvias Torrenciales en Honduras,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,199776.0,199776.0,,,,,,,199776.0,199776.0
  Emergencia para atender daños causados por ondas tropicales 25 y 26,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,200000.0,200000.0,,,,,,,,,200000.0,200000.0
  Apoyo de Emergencia para atender daños causados por Depresión Tropical Agatha,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,200000.0,200000.0,,,,,,,,,200000.0,200000.0
  Apoyo a la Estrategia Nacional de Desarrollo Estadístico [2012],Fondo de Población de las Naciones Unidas,0,,,,,,,,,,,,,,,,,,,,,,,,,,,18293.4,18293.4,,,,,18293.4,18293.4
  Rehabilitación viviendas en Puerto Cortés.,Gobierno de Taiwan,0,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,100000.0,,,,,,,100000.0,100000.0
  Desarrollo Sostenible y Estilo de Vida Saludables [2010-2011],Organización Panamericana de la Salud,0,,,,,,,,,,,,,,,,,,,,,,,1371887.0,757263.0,,614624.0,,,,,,,1371887.0,1371887.0
  Mitigación de Desastres Naturales,Banco Mundial,0,,,,,,,,,,,,,9000000.0,1465201.04,,,,,,642850.21,,2994395.95,,3897552.8,,,,,,,,,9000000.0,9000000.0
  Integrando la Perspectiva del Género en el Manejo del Riesgo de Desastres en Honduras,Programa de las Naciones Unidas para el Desarrollo,0,,,,,,,,,,,,,,,274500.0,274500.0,,,,,,,,,,,,,,,,,274500.0,274500.0
  Reduciendo Riesgos por Deslizamientos y Sismos en Tegucigalpa.," - Programa de las Naciones Unidas para el Desarrollo
 - Unión Europea",0,,,,,,,,,,,,,,,,,,,,,,,922126.56,9370.04,,727749.98,,185006.54,,,,,922126.56,922126.56
  Desarrollo Integral en Zonas Urbano Marginales del Municipio de La Ceiba fase II,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,486439.0,486439.0,,,1579.0,1579.0,,,,,488018.0,488018.0
"  Desarrollo Integral en Zonas Urbano Marginales del Municipio de Trujillo, Colón",Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,377888.0,377888.0,,,14604.0,14604.0,,,,,392492.0,392492.0
  Fortalecimiento del Observatorio de la Violencia de Honduras y Creación de la unidad de Derechos Humanos y Género.,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,135812.0,135812.0,,,,,,,,,135812.0,135812.0
  Fondo de Seguridad Ciudadana.,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,2887253.0,2887253.0,,,,,,-212166.0,,,,,2887253.0,2675087.0
"  Mecanismo Nacional de Prevención contra la Tortura en Honduras [CONAPREV: Comité Nacional de Prevención contra la Tortura, Tratos Crueles e Inhumanos]",Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,105251.0,105030.0,,217.0,,,,,105251.0,105247.0
"  Apoyo al Plan de Igualdad y Equidad de Género de Honduras 2010-2022 en el Eje de Promoción, Protección y Garantía de Derecho a la Paz y una Vida Libre de Violencia",Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,568008.0,565120.0,,,,,,,568008.0,565120.0
  Desarrollo Integral en Zonas Urbano Marginales del Municipio de La Ceiba [Fase I],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,421913.0,421913.0,,,,,,,,,421913.0,421913.0
  Promoviendo Bienestar en un Barrio de la Ciudad de Santa Rosa de Copán,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,562533.0,562533.0,25959.0,25959.0,,,,,,,588492.0,588492.0
  Empoderamiento Económico de Mujeres Viviendo con VIH/SIDA en la Bahía de Tela [ATN/SF-10537-HO],Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,200000.0,40000.0,,,,,,67000.0,,77991.0,,15009.0,,,,,200000.0,200000.0
  Organización del Sistema de Protección a testigos,Banco Interamericano de Desarrollo,0,,,,,,,,,,,,,,,,,,,150000.0,,,,,30000.0,,,,60188.0,,,,,150000.0,90188.0
  Programa Conjunto Desarrollo Humano Juvenil Via Empleo para Superar los Retos de la Migración,Fondo ODM-España,0,,,,,,,,,,,,,,,,,,,,,613.43,283.92,,236.6,,92.91,,,265250.94,70145.15,,,265864.37,70758.579
  Fortaciendo la capacidad de ASHONPLAFA para la promoción de la salud sexual y reproductiva y prevención del ITS/VIH/Sida entre jóvenes en Honduras,Fondo de Población de las Naciones Unidas,0,,,,,,,,,,,,,,,,,,,,,,,,,86475.79,69107.24,,,,,,,86475.79,69107.24
  Periodismo género y comunicación,Fondo de Población de las Naciones Unidas,0,,,,,,,,,,,,,,,,,,,,,,,,,112093.98,96848.35,,,,,,,112093.98,96848.35
