Nombre de Proyecto/Programa,Agencia financiera,Contador de proyectos,1999,1999_2,2000,2000_2,2001,2001_2,2002,2002_2,2003,2003_2,2004,2004_2,2005,2005_2,2006,2006_2,2007,2007_2,2008,2008_2,2009,2009_2,2010,2010_2,2011,2011_2,2012,2012_2,2013,2013_2,2014,2014_2,Total,Total_2
,,,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales,Compromisos Reales,Desembolsos reales
  Fortalecimiento de la cooperación española en torno a las prioridades nacionales hondureñas de desarrollo,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,84354.0,84354.0,,,,,,,,,,,,,,,,,84354.0,84354.0
"  Gestión de Ejes Transversales, Abordaje Interprogramático e Interagencial [2010-2011]",Organización Panamericana de la Salud,0,,,,,,,,,,,,,,,,,,,,,,,249750.0,115793.0,,133957.0,,,,,,,249750.0,249750.0
  Obligación no Locales- Varios Proyectos [2010-2011],Organización Panamericana de la Salud,0,,,,,,,,,,,,,,,,,,,,,,,1000000.0,621221.0,,378779.0,,,,,,,1000000.0,1000000.0
  Aula Mentor [2011],Organización de Estados Iberoamericanos,0,,,,,,,,,,,,,,,,,,,,,,,,,9201.5,9201.5,,,,,,,9201.5,9201.5
  Programa de Desarrollo del Municipio de Amapala Fase II,Agencia Andaluza de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,2659810.56,2617800.0,,,,,,,,,,,,,,,,,2659810.56,2617800.0
  Apoyo a Infraestructura Social Básica en el Municipio de Jutiapa [Fase I],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,136005.0,136005.0,,,,,,,,,136005.0,136005.0
  Construcción de 5 Aulas para Clases en el Instituto de Guaimaca,Gobierno de Taiwan,0,,,,,,,,,,,,,,,,,4939.003,4939.003,,,,,,,,,,,,,,,4939.003,4939.003
  Unidad Móvil para Transmisión de la Televisión Nacional de Honduras,Gobierno de Taiwan,0,,,,,,,,,,,,,,,,,,,,,,,100000.0,100000.0,,,,,,,,,100000.0,100000.0
  Concursos guiones y bitácoras de lectura [2012],Organización de Estados Iberoamericanos,0,,,,,,,,,,,,,,,,,,,,,,,,,,,4959.2,4959.2,,,,,4959.2,4959.2
  Solidaridad con la Persona con Discapacidad,"Organización de las Naciones Unidas para la Educación, la Ciencia y la Cultura",0,,,,,,,,,,,,,,,,,,,,,,,,,25000.0,25000.0,,,,,,,25000.0,25000.0
"  Ampliación de la cobertura de las necesidades sociales básicas en el occidente de Honduras, fase II",Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,530705.0,498751.0,,,,-174890.0,,,,,,,,,,,530705.0,323861.0
  Fortalecimiento de la Gobernabilidad Democrática Local en Honduras,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,1714442.0,1637880.0,,-245888.0,,,,,,,1714442.0,1391992.0
  Desarrollo Turístico en el Circuito de COLOSUCA [2007],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,810541.0,734400.0,,-632338.0,,,,,,,,,,,810541.0,102062.0
  Fortalecimiento de la Facultad de Ciencias Jurídicas de la UNAH,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,198040.0,198040.0,,-1891.0,,,,,,,198040.0,196149.0
  Desarrollo del Circuito Turístico COLOSUCA Fase IV,Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,438463.0,417280.0,,-121328.0,,,,,,,,,,,,,438463.0,295952.0
  Centros de Formación de la Cooperación Española en Antigua Guatemala [2010],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,148573.0,146073.0,,,,,,,,,148573.0,146073.0
  Centros de Formación de la Cooperación Española en Cartagena de Indias-Colombia [2010],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,92172.0,74281.0,,,,,,,,,92172.0,74281.0
  Centros de Formación de la Cooperación Española en Montevideo-Uruguay [2010],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,10322.0,10322.0,,,20719.0,,,,,,31041.0,10322.0
  Centros de Formación de la Cooperación Española en Santa Cruz de la Sierra-Bolivia [2010],Agencia Española de Cooperación Internacional para el Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,37334.0,22351.0,,,,,,,,,37334.0,22351.0
  Acuerdo de participación de terceros en la financiación de los gastos entre SNV y PNUD,Servicio Holandés de Cooperación al Desarrollo,0,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,,,,,,300000.0,
  Información Estratégica,Programa Conjunto de Las Naciones unidas Sobre el VIH/SIDA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2500.0,2500.0,,,,,2500.0,2500.0
